"Description: ","Standardised Precipitation Index"
"Station: ","final_1971_2005_Paris_rcp45"
"Latitude: ","48.85"
"Longitude: ","2.35"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, spi
1971-01, -99.9
1971-02, -99.9
1971-03, -99.9
1971-04, -99.9
1971-05, -99.9
1971-06, -99.9
1971-07, -99.9
1971-08, -99.9
1971-09, -99.9
1971-10, -99.9
1971-11, -99.9
1971-12, -0.244386742818085
1972-01, -0.450846901514884
1972-02, -0.222844191651433
1972-03, 0.120004262438005
1972-04, 0.245137654831752
1972-05, 0.658285713372896
1972-06, 0.751666723043769
1972-07, 0.972690031197931
1972-08, 0.9706132461913
1972-09, 0.195368115241592
1972-10, 0.315178890759277
1972-11, 0.0455480096712091
1972-12, -0.157785323628004
1973-01, -0.533066862131026
1973-02, -0.534185181571277
1973-03, -0.566867686276829
1973-04, -0.887016304521936
1973-05, -1.55943265768981
1973-06, -1.81285851281101
1973-07, -2.46949848849771
1973-08, -2.68863568750973
1973-09, -1.89186960648534
1973-10, -1.58749445851408
1973-11, -0.839351996821319
1973-12, -0.35180131095903
1974-01, -0.203311368124147
1974-02, -0.35376505342457
1974-03, -0.689415406183261
1974-04, -0.635337822778126
1974-05, -0.303652450351625
1974-06, -0.436074648459158
1974-07, 0.0174189731373777
1974-08, 0.663316110846021
1974-09, 1.11822822158928
1974-10, 1.18897156179768
1974-11, 0.958158326676901
1974-12, 0.575174985856074
1975-01, 1.04950257315609
1975-02, 0.995224984673099
1975-03, 1.23304045289233
1975-04, 1.46470911307893
1975-05, 1.37098065075846
1975-06, 1.69614503365481
1975-07, 1.37446248708586
1975-08, 1.24083318746381
1975-09, 1.1377567110784
1975-10, 1.11461385000251
1975-11, 0.72417950717832
1975-12, 1.02039340631054
1976-01, 0.813934980746972
1976-02, 0.776961194605093
1976-03, 0.495546980414863
1976-04, 0.427019676575121
1976-05, 0.436105807520996
1976-06, 0.274673772769472
1976-07, 1.15923354144543
1976-08, 0.537044229140914
1976-09, -0.591354604275851
1976-10, -0.777551072851951
1976-11, -0.42434104175677
1976-12, -0.317303417328262
1977-01, -0.411143404875845
1977-02, -0.355451473766097
1977-03, -0.455461528133157
1977-04, -0.15730358498462
1977-05, 0.167063033539415
1977-06, 0.374982919884163
1977-07, -0.201554939210684
1977-08, 0.0668839858202716
1977-09, 0.170937233182893
1977-10, 0.335073265932543
1977-11, 0.45368138484263
1977-12, -0.112220453961818
1978-01, 0.34067350339481
1978-02, 0.442426490329056
1978-03, 0.392520124006617
1978-04, 0.123523898282109
1978-05, 0.035354075747312
1978-06, 0.0521775966849947
1978-07, 0.255682300609494
1978-08, 0.00969838830677199
1978-09, -0.0469592971674141
1978-10, 0.0174602891731726
1978-11, 0.0107398456011628
1978-12, 0.021653597202726
1979-01, 0.150439076218256
1979-02, -0.142580361547201
1979-03, -0.24376160852962
1979-04, -0.529099163869341
1979-05, -0.464317209592986
1979-06, -0.252276257441787
1979-07, -0.557982366319624
1979-08, -0.471617519935487
1979-09, -0.549613258924738
1979-10, -0.266624069979731
1979-11, -0.475843480507133
1979-12, 0.230142184674578
1980-01, -0.250130794293863
1980-02, -0.0194134293654897
1980-03, 0.0379226465827205
1980-04, 0.222115266119305
1980-05, 0.0230726601191142
1980-06, -0.0422718789560626
1980-07, 0.147499282963439
1980-08, 1.042742762544
1980-09, 1.21763660677083
1980-10, 0.420732808380713
1980-11, 0.440407990060586
1980-12, 0.349617542227296
1981-01, 0.477574006352521
1981-02, 0.764371725072557
1981-03, 0.717680163037239
1981-04, 0.933017819635801
1981-05, 0.601936775921193
1981-06, 0.326846035787219
1981-07, -0.00312093914202285
1981-08, -0.853312400335204
1981-09, -0.743543149990006
1981-10, -0.794411799176942
1981-11, -1.01057699152074
1981-12, -1.65630359095039
1982-01, -1.43318679068597
1982-02, -1.86773911771816
1982-03, -1.51741004697999
1982-04, -1.73218046582923
1982-05, -0.460249744361177
1982-06, -0.642609212431447
1982-07, -0.210062367930197
