"Description: ","Monthly sum of daily precipitation >= 1.0 mm"
"Station: ","final_1971_2005_Paris_rcp45"
"Latitude: ","48.85"
"Longitude: ","2.35"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, prcptot, normalised (all years)
1971-01, 86.339525184, 0.977818234757194
1971-02, 16.126515936, -1.18606625953894
1971-03, 35.205071904, -0.598087024994279
1971-04, 24.176962944, -0.937960707030376
1971-05, 35.92288224, -0.575964932912602
1971-06, 38.6421624, -0.492159834158218
1971-07, 37.839884832, -0.516885109546785
1971-08, 68.392469664, 0.424710547536025
1971-09, 108.541720224, 1.66206444640583
1971-10, 29.587397472, -0.771217314204251
1971-11, 75.931291296, 0.657048392181443
1971-12, 45.71313408, -0.27424058896656
1972-01, 59.57017344, 0.152817486582443
1972-02, 39.529492128, -0.464813348652017
1972-03, 83.601178272, 0.893425520553034
1972-04, 37.839220416, -0.516905586086611
1972-05, 83.830356864, 0.900488542163485
1972-06, 44.814462624, -0.301936613534263
1972-07, 64.271202624, 0.297697819549812
1972-08, 68.142680352, 0.417012327151131
1972-09, 21.638717568, -1.01618652117324
1972-10, 44.338750272, -0.31659752314721
1972-11, 42.102870336, -0.385504780882443
1972-12, 18.942801696, -1.09927155934249
1973-01, 11.948504832, -1.31482777455975
1973-02, 36.729612, -0.551102446067959
1973-03, 84.09958704, 0.908785907701334
1973-04, 8.677974528, -1.41562177112461
1973-05, 26.970090912, -0.851879703448946
1973-06, 25.361452512, -0.901456095743918
1973-07, 17.658019008, -1.13886708967054
1973-08, 38.176727328, -0.50650400977737
1973-09, 75.265660512, 0.636534414104583
1973-10, 88.416468864, 1.04182725919317
1973-11, 97.256490048, 1.31426658310452
1973-12, 71.561092032, 0.522363858280436
1974-01, 30.949965216, -0.729224537577124
1974-02, 17.038649376, -1.15795535204922
1974-03, 54.59040576, -0.000653247450452574
1974-04, 18.365305824, -1.11706932041732
1974-05, 67.736594304, 0.404497220448989
1974-06, 11.254821696, -1.3362062939826
1974-07, 65.32116912, 0.330056583895032
1974-08, 109.880728416, 1.70333114463507
1974-09, 142.523601408, 2.70934708773722
1974-10, 89.839993536, 1.08569865849623
1974-11, 83.83906512, 0.900756920635404
1974-12, 23.88680496, -0.946903043631505
1975-01, 81.804364128, 0.838049767441522
1975-02, 18.452351232, -1.1143866806802
1975-03, 75.66697296, 0.648902403924361
1975-04, 42.49353744, -0.37346486836721
1975-05, 41.902680672, -0.39167439694772
1975-06, 48.793879008, -0.179295560232152
1975-07, 26.963287776, -0.852089368305368
1975-08, 98.411035968, 1.34984836546933
1975-09, 147.442284288, 2.86093525822566
1975-10, 78.477376608, 0.735515824168754
1975-11, 43.271213472, -0.349497784129491
1975-12, 73.771669728, 0.590491329970414
1976-01, 36.630510336, -0.554156645800819
1976-02, 21.607297344, -1.01715485647533
1976-03, 38.059073856, -0.510129954975953
1976-04, 30.662302464, -0.738089973987073
1976-05, 41.494080384, -0.404266989645822
1976-06, 32.690251296, -0.675590914627703
1976-07, 131.090361984, 2.35698774900295
1976-08, 25.024355136, -0.91184505062289
1976-09, 19.00183968, -1.09745207632188
