"Description: ","Monthly number of days when precipitation >= 10 mm"
"Station: ","final_1971_2005_Paris_rcp45"
"Latitude: ","48.85"
"Longitude: ","2.35"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, r10mm, normalised (all years)
1971-01, 2, 0.311702858278307
1971-02, 0, -1.1269257183908
1971-03, 0, -1.1269257183908
1971-04, 2, 0.311702858278307
1971-05, 2, 0.311702858278307
1971-06, 0, -1.1269257183908
1971-07, 1, -0.407611430056248
1971-08, 1, -0.407611430056248
1971-09, 4, 1.75033143494742
1971-10, 0, -1.1269257183908
1971-11, 1, -0.407611430056248
1971-12, 2, 0.311702858278307
1972-01, 1, -0.407611430056248
1972-02, 1, -0.407611430056248
1972-03, 3, 1.03101714661286
1972-04, 1, -0.407611430056248
1972-05, 2, 0.311702858278307
1972-06, 2, 0.311702858278307
1972-07, 1, -0.407611430056248
1972-08, 2, 0.311702858278307
1972-09, 0, -1.1269257183908
1972-10, 1, -0.407611430056248
1972-11, 0, -1.1269257183908
1972-12, 1, -0.407611430056248
1973-01, 0, -1.1269257183908
1973-02, 0, -1.1269257183908
1973-03, 3, 1.03101714661286
1973-04, 0, -1.1269257183908
1973-05, 0, -1.1269257183908
1973-06, 1, -0.407611430056248
1973-07, 1, -0.407611430056248
1973-08, 1, -0.407611430056248
1973-09, 4, 1.75033143494742
1973-10, 3, 1.03101714661286
1973-11, 2, 0.311702858278307
1973-12, 1, -0.407611430056248
1974-01, 0, -1.1269257183908
1974-02, 0, -1.1269257183908
1974-03, 1, -0.407611430056248
1974-04, 0, -1.1269257183908
1974-05, 2, 0.311702858278307
1974-06, 0, -1.1269257183908
1974-07, 2, 0.311702858278307
1974-08, 2, 0.311702858278307
1974-09, 6, 3.18896001161653
1974-10, 2, 0.311702858278307
1974-11, 3, 1.03101714661286
1974-12, 0, -1.1269257183908
1975-01, 3, 1.03101714661286
1975-02, 0, -1.1269257183908
1975-03, 2, 0.311702858278307
1975-04, 2, 0.311702858278307
1975-05, 0, -1.1269257183908
1975-06, 1, -0.407611430056248
1975-07, 1, -0.407611430056248
1975-08, 3, 1.03101714661286
1975-09, 6, 3.18896001161653
