"Description: ","Monthly number of days when TX > 25 degrees_C"
"Station: ","final_1971_2005_Paris_rcp45"
"Latitude: ","48.85"
"Longitude: ","2.35"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, su, normalised (all years)
1971-01, 0, -0.669948599645814
1971-02, 0, -0.669948599645814
1971-03, 0, -0.669948599645814
1971-04, 0, -0.669948599645814
1971-05, 3, -0.266583174926605
1971-06, 7, 0.271237391365673
1971-07, 20, 2.01915423181558
1971-08, 11, 0.809057957657952
1971-09, 3, -0.266583174926605
1971-10, 0, -0.669948599645814
1971-11, 0, -0.669948599645814
1971-12, 0, -0.669948599645814
1972-01, 0, -0.669948599645814
1972-02, 0, -0.669948599645814
1972-03, 0, -0.669948599645814
1972-04, 0, -0.669948599645814
1972-05, 3, -0.266583174926605
1972-06, 7, 0.271237391365673
1972-07, 5, 0.00232710821953395
1972-08, 7, 0.271237391365673
1972-09, 7, 0.271237391365673
1972-10, 1, -0.535493458072744
1972-11, 0, -0.669948599645814
1972-12, 0, -0.669948599645814
1973-01, 0, -0.669948599645814
1973-02, 0, -0.669948599645814
1973-03, 0, -0.669948599645814
1973-04, 12, 0.943513099231021
1973-05, 2, -0.401038316499675
1973-06, 9, 0.540147674511812
1973-07, 27, 2.96034022282706
1973-08, 13, 1.07796824080409
1973-09, 2, -0.401038316499675
1973-10, 0, -0.669948599645814
1973-11, 0, -0.669948599645814
1973-12, 0, -0.669948599645814
1974-01, 0, -0.669948599645814
1974-02, 0, -0.669948599645814
1974-03, 0, -0.669948599645814
1974-04, 1, -0.535493458072744
1974-05, 7, 0.271237391365673
1974-06, 15, 1.34687852395023
1974-07, 8, 0.405692532938743
1974-08, 5, 0.00232710821953395
1974-09, 0, -0.669948599645814
1974-10, 0, -0.669948599645814
1974-11, 0, -0.669948599645814
1974-12, 0, -0.669948599645814
1975-01, 0, -0.669948599645814
1975-02, 0, -0.669948599645814
1975-03, 0, -0.669948599645814
1975-04, 1, -0.535493458072744
1975-05, 5, 0.00232710821953395
1975-06, 2, -0.401038316499675
1975-07, 16, 1.4813336655233
1975-08, 21, 2.15360937338865
1975-09, 0, -0.669948599645814
1975-10, 0, -0.669948599645814
1975-11, 0, -0.669948599645814
1975-12, 0, -0.669948599645814
1976-01, 0, -0.669948599645814
1976-02, 0, -0.669948599645814
1976-03, 0, -0.669948599645814
1976-04, 3, -0.266583174926605
1976-05, 7, 0.271237391365673
1976-06, 8, 0.405692532938743
1976-07, 19, 1.88469909024251
1976-08, 16, 1.4813336655233
1976-09, 9, 0.540147674511812
1976-10, 3, -0.266583174926605
1976-11, 0, -0.669948599645814
1976-12, 0, -0.669948599645814
1977-01, 0, -0.669948599645814
1977-02, 0, -0.669948599645814
1977-03, 0, -0.669948599645814
1977-04, 0, -0.669948599645814
1977-05, 0, -0.669948599645814
1977-06, 4, -0.132128033353536
1977-07, 14, 1.21242338237716
1977-08, 15, 1.34687852395023
1977-09, 3, -0.266583174926605
1977-10, 0, -0.669948599645814
1977-11, 0, -0.669948599645814
1977-12, 0, -0.669948599645814
1978-01, 0, -0.669948599645814
1978-02, 0, -0.669948599645814
1978-03, 0, -0.669948599645814
1978-04, 2, -0.401038316499675
1978-05, 4, -0.132128033353536
1978-06, 4, -0.132128033353536
1978-07, 18, 1.75024394866944
1978-08, 15, 1.34687852395023
1978-09, 3, -0.266583174926605
1978-10, 0, -0.669948599645814
1978-11, 0, -0.669948599645814
1978-12, 0, -0.669948599645814
1979-01, 0, -0.669948599645814
