"Description: ","Monthly number of days when TM >= 10 degrees_C"
"Station: ","final_1971_2005_Paris_rcp45"
"Latitude: ","48.85"
"Longitude: ","2.35"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, tmge10, normalised (all years)
1971-01, 0, -1.74403879258607
1971-02, 0, -1.74403879258607
1971-03, 19, -0.0846490323057953
1971-04, 14, -0.521330548169025
1971-05, 29, 0.788713999420664
1971-06, 30, 0.87605030259331
1971-07, 31, 0.963386605765956
1971-08, 31, 0.963386605765956
1971-09, 30, 0.87605030259331
1971-10, 24, 0.352032483557435
1971-11, 12, -0.696003154514317
1971-12, 2, -1.56936618624078
1972-01, 0, -1.74403879258607
1972-02, 4, -1.39469357989548
1972-03, 15, -0.433994244996379
1972-04, 11, -0.783339457686963
1972-05, 25, 0.439368786730081
1972-06, 30, 0.87605030259331
1972-07, 31, 0.963386605765956
1972-08, 31, 0.963386605765956
1972-09, 30, 0.87605030259331
1972-10, 30, 0.87605030259331
1972-11, 12, -0.696003154514317
1972-12, 0, -1.74403879258607
1973-01, 2, -1.56936618624078
1973-02, 6, -1.22002097355019
1973-03, 12, -0.696003154514317
1973-04, 23, 0.264696180384789
1973-05, 20, 0.00268727086685064
1973-06, 30, 0.87605030259331
1973-07, 31, 0.963386605765956
1973-08, 31, 0.963386605765956
1973-09, 30, 0.87605030259331
1973-10, 19, -0.0846490323057953
1973-11, 12, -0.696003154514317
1973-12, 1, -1.65670248941342
1974-01, 1, -1.65670248941342
1974-02, 7, -1.13268467037755
1974-03, 5, -1.30735727672284
1974-04, 18, -0.171985335478441
1974-05, 29, 0.788713999420664
1974-06, 30, 0.87605030259331
1974-07, 31, 0.963386605765956
1974-08, 31, 0.963386605765956
1974-09, 30, 0.87605030259331
1974-10, 30, 0.87605030259331
1974-11, 5, -1.30735727672284
1974-12, 1, -1.65670248941342
1975-01, 0, -1.74403879258607
1975-02, 4, -1.39469357989548
1975-03, 13, -0.608666851341671
1975-04, 27, 0.614041393075372
1975-05, 29, 0.788713999420664
1975-06, 30, 0.87605030259331
1975-07, 31, 0.963386605765956
1975-08, 31, 0.963386605765956
1975-09, 30, 0.87605030259331
1975-10, 21, 0.0900235740394966
1975-11, 10, -0.870675760859609
1975-12, 2, -1.56936618624078
1976-01, 1, -1.65670248941342
1976-02, 14, -0.521330548169025
1976-03, 11, -0.783339457686963
1976-04, 20, 0.00268727086685064
1976-05, 31, 0.963386605765956
1976-06, 30, 0.87605030259331
1976-07, 31, 0.963386605765956
1976-08, 31, 0.963386605765956
1976-09, 30, 0.87605030259331
1976-10, 18, -0.171985335478441
1976-11, 1, -1.65670248941342
1976-12, 7, -1.13268467037755
1977-01, 1, -1.65670248941342
1977-02, 3, -1.48202988306813
1977-03, 13, -0.608666851341671
1977-04, 17, -0.259321638651087
1977-05, 29, 0.788713999420664
1977-06, 30, 0.87605030259331
1977-07, 31, 0.963386605765956
1977-08, 31, 0.963386605765956
1977-09, 30, 0.87605030259331
1977-10, 20, 0.00268727086685064
1977-11, 14, -0.521330548169025
