"Description: ","Heatwave definitions and aspects"
"Station: ","final_1971_2005_Paris_rcp45"
"Latitude: ","48.85"
"Longitude: ","2.35"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, HWM, HWA, HWN, HWD, HWF
1971, 20.6538166666667, 21.4303, 1, 6, 6
1972, -99.9, -99.9, 0, -99.9, 0
1973, 19.884925, 21.7866, 3, 4, 10
1974, 16.3662666666667, 17.5144, 1, 6, 6
1975, -99.9, -99.9, 0, -99.9, 0
1976, -99.9, -99.9, 0, -99.9, 0
1977, -99.9, -99.9, 0, -99.9, 0
1978, -99.9, -99.9, 0, -99.9, 0
1979, -99.9, -99.9, 0, -99.9, 0
1980, 16.5681, 17.4617, 1, 3, 3
1981, -99.9, -99.9, 0, -99.9, 0
1982, -99.9, -99.9, 0, -99.9, 0
1983, -99.9, -99.9, 0, -99.9, 0
1984, 16.0340666666667, 17.0413, 1, 3, 3
1985, 19.3488, 20.423, 2, 3, 6
1986, 15.3426, 16.5232, 1, 3, 3
1987, 19.9419305555556, 22.7488, 3, 4, 10
1988, 20.6476666666667, 21.4184, 1, 3, 3
1989, -99.9, -99.9, 0, -99.9, 0
1990, 20.81648125, 22.4866, 2, 8, 12
1991, 16.0424208333334, 17.9673, 2, 4, 7
1992, 15.5208, 16.069, 1, 4, 4
1993, 18.64676, 20.6281, 2, 5, 10
1994, 14.7868666666667, 15.4466, 1, 3, 3
1995, 20.4834666666667, 21.9472, 1, 3, 3
1996, 20.3016333333334, 21.3123000000001, 1, 6, 6
1997, 19.909475, 21.4872, 1, 4, 4
1998, 17.2782583333333, 19.9744, 4, 4, 14
1999, 17.7573472222223, 21.3166000000001, 3, 4, 11
2000, 20.8321666666667, 22.7505, 1, 6, 6
2001, 17.7948725, 19.2152, 2, 5, 9
2002, 18.1103583333334, 18.8153, 2, 4, 7
2003, 20.2194666666667, 21.0646, 1, 3, 3
2004, 19.1319138888889, 23.2771, 3, 4, 11
2005, 18.9126458333334, 22.9863, 6, 6, 24
2006, 19.55655, 22.0477, 2, 4, 8
2007, 16.3183244444445, 17.6999, 3, 6, 14
2008, 19.19853125, 21.4484, 4, 4, 14
2009, -99.9, -99.9, 0, -99.9, 0
2010, 20.491, 21.0471, 2, 3, 6
2011, 18.0949833333334, 20.2913, 3, 8, 16
2012, 19.8777253809524, 23.211, 5, 7, 23
2013, 17.3972390350877, 20.8716, 4, 19, 33
2014, 16.7507476190476, 21.0127, 3, 7, 13
2015, 17.0969583333334, 20.1933, 2, 6, 9
2016, 19.2830396078432, 20.3844, 3, 17, 25
2017, 16.7476833333334, 18.6187, 3, 4, 10
2018, 18.680675, 20.5617, 2, 6, 9
2019, 17.3384225, 17.8195, 2, 10, 14
2020, 17.9776277777778, 20.9611, 3, 6, 13
2021, 17.5352911111111, 21.0519, 3, 5, 12
2022, 20.4514437037037, 22.0973, 3, 9, 17
2023, 19.8871607305195, 23.9072, 4, 11, 27
2024, 18.5779888888889, 20.7248, 1, 9, 9
2025, 15.7398714285715, 17.4173, 1, 7, 7
2026, -99.9, -99.9, 0, -99.9, 0
2027, 14.72888, 15.2681, 1, 5, 5
2028, 19.7716258333333, 24.0676, 4, 5, 15
2029, 20.2038534090909, 23.2804, 2, 11, 15
2030, 19.0833711111111, 21.4093, 3, 5, 11
2031, 19.256825, 21.4344, 2, 8, 12
2032, 19.63975, 20.8453, 2, 6, 12
2033, 19.9501125, 22.2487, 5, 16, 33
2034, 18.9845833333333, 21.0406, 2, 5, 8
2035, 17.9572722222222, 19.2432, 2, 9, 12
2036, 18.2200333333334, 21.3384, 2, 3, 6
2037, 18.3884357142857, 22.1769, 2, 7, 11
2038, 17.8904190476191, 19.557, 2, 7, 10
2039, 18.9197133333334, 21.4488, 4, 5, 16
2040, 17.6859125, 19.9045, 4, 4, 13
2041, 18.8994125, 21.7435, 2, 8, 15
2042, 17.1840818627451, 25.2292, 3, 17, 25
2043, 17.9398321111111, 21.5111, 5, 9, 30
2044, 17.9768666666667, 20.7793, 3, 4, 12
2045, 18.7479166666667, 20.6717, 2, 6, 10
2046, -99.9, -99.9, 0, -99.9, 0
2047, 18.9439982142857, 22.2872, 6, 7, 26
2048, 19.6295116666667, 24.2871, 4, 6, 19
2049, 19.259415, 21.8161, 4, 5, 14
2050, 19.8633285714286, 21.0318, 1, 7, 7
2051, 20.2663383333334, 22.1278, 3, 5, 13
2052, 18.3609782142857, 23.7185, 7, 8, 31
2053, 15.83286, 17.8886, 1, 5, 5
2054, 19.9047666666667, 22.2082, 3, 6, 12
2055, 22.3192333333334, 25.8783, 2, 3, 6
2056, -99.9, -99.9, 0, -99.9, 0
2057, 18.9545616666667, 22.1083, 5, 4, 17
2058, 18.6684125, 23.0683, 4, 4, 13
2059, 20.2752416666667, 23.6653, 3, 4, 11
2060, 19.3220247278912, 22.9979, 7, 7, 29
2061, 18.1255332121212, 21.5063, 5, 11, 28
2062, 19.2913616973305, 22.2598, 6, 11, 43
2063, 20.8177285, 24.5463, 5, 15, 34
2064, 19.4718683333334, 20.9008, 5, 12, 28
2065, 19.22366875, 21.0593, 2, 8, 14
2066, 19.3469666666667, 20.3183, 1, 3, 3
2067, 17.1986111111111, 19.749, 3, 4, 11
2068, 19.5861882738095, 23.6553, 8, 7, 37
2069, 18.4813458333334, 23.8036, 4, 10, 21
2070, 18.05426625, 20.7796, 4, 5, 15
2071, 18.6849121666667, 22.4235, 5, 8, 27
2072, 19.173775, 22.4538, 2, 4, 7
2073, 20.3263190476191, 23.9658, 5, 7, 25
2074, 18.96540625, 23.3625, 4, 8, 24
2075, 20.695645, 23.8522, 2, 10, 15
2076, 17.9439805555556, 23.8159, 3, 4, 11
2077, 18.4683666666667, 21.2954, 2, 3, 6
2078, 19.4497683333333, 22.0761, 4, 6, 17
2079, 19.4686642857143, 22.6156, 2, 7, 10
2080, 19.5287189583334, 22.6524, 4, 8, 22
2081, 19.8562898809524, 22.7002, 4, 7, 17
2082, 19.4105511666667, 24.2482, 5, 8, 24
2083, 19.0029604166667, 22.6329, 4, 6, 18
2084, 18.8513120833334, 23.5907, 4, 5, 15
2085, 20.25805, 22.6667, 1, 8, 8
2086, 19.3654786666667, 23.7912, 10, 10, 44
2087, 19.2654, 19.6915, 1, 3, 3
2088, 17.44666, 20.9612, 5, 6, 18
2089, 18.3976438571429, 24.4216, 5, 9, 35
2090, 19.2050602272727, 24.7581, 4, 11, 21
2091, 18.3678651984127, 22.7542, 6, 7, 27
2092, 21.3655069444445, 27.8638, 6, 13, 41
2093, 18.002359469697, 22.7079, 8, 11, 34
2094, 18.2249833333334, 23.1753, 5, 6, 18
