"Description: ","Monthly warmest daily TX"
"Station: ","final_1971_2005_Paris_rcp45"
"Latitude: ","48.85"
"Longitude: ","2.35"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, txx, normalised (all years)
1971-01, 12.2417, -1.49146585021576
1971-02, 10.2253, -1.73881472649748
1971-03, 18.6524, -0.705074538383192
1971-04, 22.6572, -0.213811505387252
1971-05, 27.6262, 0.395728549286347
1971-06, 29.012, 0.565722634165935
1971-07, 35.3486, 1.34302420600025
1971-08, 39.0387, 1.79568344442872
1971-09, 32.0796, 0.942020696495725
1971-10, 24.7268, 0.0400633380726957
1971-11, 17.1791, -0.885802121911188
1971-12, 13.1689, -1.37772756510943
1972-01, 10.6779, -1.68329493806011
1972-02, 15.9224, -1.03995969621352
1972-03, 18.0946, -0.773499058909844
1972-04, 18.1011, -0.772701713295962
1972-05, 30.3906, 0.734833505442453
1972-06, 36.3736, 1.4687594758816
1972-07, 31.1749, 0.831042453898985
1972-08, 28.5806, 0.512803419115383
1972-09, 29.2254, 0.591900104012452
1972-10, 25.8082, 0.172717114511422
1972-11, 16.8855, -0.921817609947447
1972-12, 8.38800000000003, -1.96419366440285
1973-01, 13.8876, -1.28956567392531
1973-02, 16.6386, -0.952104476419355
1973-03, 22.1143, -0.280408264429775
1973-04, 29.3888, 0.611944146059879
1973-05, 28.2306, 0.46986942452175
1973-06, 30.997, 0.809219717789821
1973-07, 45.6608, 2.60800688899584
1973-08, 34.2341, 1.20631010035853
1973-09, 26.1863, 0.219098095528143
1973-10, 20.3924, -0.491631250974848
1973-11, 16.2006, -1.00583330393939
1973-12, 13.8333, -1.29622657651512
1974-01, 12.4431, -1.46676040304103
1974-02, 16.2646, -0.99798251635655
1974-03, 16.5864, -0.958507775041605
1974-04, 25.4433, 0.12795535843366
1974-05, 30.1033, 0.699590829308881
1974-06, 32.5473, 0.999392780128416
1974-07, 31.8782, 0.917315249320989
1974-08, 28.0278, 0.44499224136864
1974-09, 24.1977, -0.0248405948972783
1974-10, 22.894, -0.18476359133076
1974-11, 13.6315, -1.32098109111225
1974-12, 14.0774, -1.26628318199996
1975-01, 10.2355, -1.73756350722646
1975-02, 15.5904, -1.08068565679948
1975-03, 23.4412, -0.117639357497516
1975-04, 25.9524, 0.190405920283998
1975-05, 30.7089, 0.773878906811463
1975-06, 27.4313, 0.371820447725492
1975-07, 36.2623, 1.45510646560083
1975-08, 35.5946, 1.37320067077178
1975-09, 23.9118, -0.0599115350524771
1975-10, 24.155, -0.0300785422377014
1975-11, 19.1461, -0.644513072294974
1975-12, 13.5783, -1.32750705829048
1976-01, 13.1533, -1.37964119458275
1976-02, 16.5984, -0.957035752369823
1976-03, 19.1928, -0.638784450730624
1976-04, 28.4488, 0.496635703436981
1976-05, 28.7354, 0.531792511581367
1976-06, 29.928, 0.67808703144527
1976-07, 33.7184, 1.14304992603871
1976-08, 33.6511, 1.13479433222113
1976-09, 29.6621, 0.645469462409707
1976-10, 28.0336, 0.445703718993335
1976-11, 13.2599, -1.36656472651509
1976-12, 13.6386, -1.32011014436478
1977-01, 13.5503, -1.33094177785797
1977-02, 16.8443, -0.926871554453897
1977-03, 23.4573, -0.115664393746208
1977-04, 19.8309, -0.560509645158633
1977-05, 23.862, -0.0660204291403712
1977-06, 31.4246, 0.861672792327642
1977-07, 31.8796, 0.917486985299364
1977-08, 30.313, 0.725314425498265
1977-09, 25.7142, 0.161186270249132
1977-10, 19.062, -0.654829497853044
1977-11, 19.4531, -0.606853825608559
1977-12, 5.7978, -2.28192975810693
1978-01, 12.5055, -1.45910588514776
1978-02, 12.392, -1.4730287662517
1978-03, 19.3972, -0.613710997887942
1978-04, 25.3998, 0.122619276248452
1978-05, 26.8491, 0.300402814432884
1978-06, 30.4481, 0.741886947411407
1978-07, 35.1389, 1.31730060981087
1978-08, 31.175, 0.831054720754583
1978-09, 25.8554, 0.178507070353763
1978-10, 22.641, -0.215798735994157
1978-11, 18.0674, -0.776835643632549
1978-12, 15.6333, -1.07542317574787
1979-01, 15.592, -1.08048938710991
1979-02, 11.9743, -1.5242674220853
1979-03, 18.1924, -0.761502074134823
1979-04, 30.0034, 0.687336240566298
1979-05, 28.6782, 0.524775870179207
1979-06, 29.903, 0.675020317545724
1979-07, 34.8129, 1.2773106605608
1979-08, 33.0333, 1.05900969833557
1979-09, 32.3172, 0.971166745397003
1979-10, 29.325, 0.60411789218824
1979-11, 22.4737, -0.236321185409913
1979-12, 13.4263, -1.34615267879971
1980-01, 13.6087, -1.32377793418863
1980-02, 17.2501, -0.87709265443648
1980-03, 19.1644, -0.642268237720507
1980-04, 26.3401, 0.237964519438145
1980-05, 30.663, 0.768248420091898
1980-06, 32.0508, 0.93848784208345
1980-07, 38.1029, 1.68089020974094
1980-08, 30.1885, 0.71004219027853
1980-09, 27.6641, 0.400377687558057
1980-10, 23.6499, -0.0920384298641124
1980-11, 18.6483, -0.705577479462718
1980-12, 14.7763, -1.18055012822427
