"Description: ","Linear trend statistics"
"Station: ","final_1971_2005_Paris_rcp45"
"Latitude: ","48.85"
"Longitude: ","2.35"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
Index,Frequency,StartYear,EndYear,Lower bound,Slope,Upper bound
fd,annual,1971,2100,-0.174603174603175,-0.135135135135135,-0.0975609756097561
fd,monthly,1971,2100,0,0,0
fd,DJF,1971,2100,-0.0487804878048781,-0.0344827586206897,-0.0222222222222222
fd,MAM,1971,2100,0,0,0
fd,JJA,1971,2100,0,0,0
fd,SON,1971,2100,-0.0040650406504065,0,0
tnlt2,annual,1971,2100,-0.307692307692308,-0.253968253968254,-0.2
tnlt2,monthly,1971,2100,0,0,0
tnlt2,DJF,1971,2100,-0.0646766169154229,-0.0470588235294118,-0.0307017543859649
tnlt2,MAM,1971,2100,-0.021978021978022,-0.0138888888888889,-0.00749063670411985
tnlt2,JJA,1971,2100,0,0,0
tnlt2,SON,1971,2100,-0.0222222222222222,-0.0158730158730159,-0.00970873786407767
tnltm2,annual,1971,2100,-0.0714285714285714,-0.0487804878048781,-0.028169014084507
tnltm2,monthly,1971,2100,0,0,0
tnltm2,DJF,1971,2100,-0.0205128205128205,-0.0133333333333333,-0.00680272108843538
tnltm2,MAM,1971,2100,0,0,0
tnltm2,JJA,1971,2100,0,0,0
tnltm2,SON,1971,2100,0,0,0
tnltm20,annual,1971,2100,0,0,0
tnltm20,monthly,1971,2100,0,0,0
tnltm20,DJF,1971,2100,0,0,0
tnltm20,MAM,1971,2100,0,0,0
tnltm20,JJA,1971,2100,0,0,0
tnltm20,SON,1971,2100,0,0,0
id,annual,1971,2100,0,0,0
id,monthly,1971,2100,0,0,0
id,DJF,1971,2100,0,0,0
id,MAM,1971,2100,0,0,0
id,JJA,1971,2100,0,0,0
id,SON,1971,2100,0,0,0
su,annual,1971,2100,0.178571428571429,0.25,0.319148936170213
su,monthly,1971,2100,0,0,0
su,DJF,1971,2100,0,0,0
su,MAM,1971,2100,0,0.018018018018018,0.0416666666666667
su,JJA,1971,2100,0.111111111111111,0.173913043478261,0.232142857142857
su,SON,1971,2100,0.0169491525423729,0.0416666666666667,0.0666666666666667
tr,annual,1971,2100,0.0545454545454545,0.0786516853932584,0.102564102564103
tr,monthly,1971,2100,0,0,0
tr,DJF,1971,2100,0,0,0
tr,MAM,1971,2100,0,0,0
tr,JJA,1971,2100,0.0531914893617021,0.0769230769230769,0.101010101010101
tr,SON,1971,2100,0,0,0
gsl,annual,1971,2100,0.132530120481928,0.25,0.3625
txx,annual,1971,2100,0.0254946236559144,0.0398436170212765,0.0534129870129869
txx,monthly,1971,2100,0.000799477351916426,0.0016631526525477,0.00253533834586462
txx,DJF,1971,2100,0.00171764705882381,0.0101564285714285,0.0185714285714279
txx,MAM,1971,2100,0.0059081081081074,0.01745,0.0298423076923069
txx,JJA,1971,2100,0.0248741935483888,0.0391258823529416,0.0526456790123456
txx,SON,1971,2100,0.00689904761904765,0.0217654545454547,0.0356579999999998
tnn,annual,1971,2100,0.0186162162162158,0.0288999999999998,0.040708333333337
tnn,monthly,1971,2100,0.000646629213483216,0.00118001210653752,0.0017104377104377
tnn,DJF,1971,2100,0.0156893617021272,0.0258218988218979,0.0394739726027396
tnn,MAM,1971,2100,0.00488571428571406,0.00915000000000015,0.0136195121951216
tnn,JJA,1971,2100,0.00969047619047658,0.0158930232558141,0.0215938775510197
tnn,SON,1971,2100,0.00894186046511634,0.0159846153846155,0.0234307692307696
tnx,annual,1971,2100,0.0197799999999988,0.0266196581196578,0.033720967741935
tnx,monthly,1971,2100,0.000842997542997525,0.00134957699831421,0.00185638082376773
tnx,DJF,1971,2100,0.00889855072463818,0.0145957575012299,0.0203045045045046
tnx,MAM,1971,2100,0.00898615384615351,0.0166724637681167,0.0242120689655169
tnx,JJA,1971,2100,0.0198285714285707,0.0267999999999991,0.0339787234042549
tnx,SON,1971,2100,0.00948653846153856,0.0156287234042549,0.0216453125000005
txn,annual,1971,2100,0.0157931372549016,0.0255749999999987,0.0351869565217386
txn,monthly,1971,2100,0.000710674157303363,0.00148656660692951,0.00225739436619737
txn,DJF,1971,2100,0.0134031914893619,0.0238765483870964,0.0343793103448276
txn,MAM,1971,2100,0.00760652173913024,0.0177150000000002,0.0279884057971013
txn,JJA,1971,2100,0.00536666666666628,0.0120521739130432,0.019336842105263
txn,SON,1971,2100,0.0165625,0.0280553571428572,0.0411456521739128
dtr,annual,1971,2100,-0.000523506849315207,0.00142780539604119,0.00346027011383367
dtr,monthly,1971,2100,-0.000161543879419627,8.78165257439071e-05,0.000336129032258071
dtr,DJF,1971,2100,-0.000544979390279481,0.00103130485746236,0.00253720622119816
dtr,MAM,1971,2100,-0.00635999677822081,-0.00294487547100448,0.000476664999583197
dtr,JJA,1971,2100,0.000238182749150509,0.00481248685782556,0.00976903897849465
dtr,SON,1971,2100,-0.000451751556310077,0.00284393452807646,0.00599363385718243
wsdi,annual,1971,2100,0.0434782608695652,0.0980392156862745,0.144927536231884
wsdi3,annual,1971,2100,0.237113402061856,0.294117647058824,0.358024691358025
csdi,annual,1971,2100,-0.0142857142857143,0,0
csdi3,annual,1971,2100,-0.148148148148148,-0.116279069767442,-0.0869565217391304
txgt50p,annual,1971,2100,0.126406058581134,0.15987438466666,0.192880094706579
txgt50p,monthly,1971,2100,0.0110170985369293,0.0134084204880665,0.0157548544645319
