"Description: ","Annual number of days when TN < 0 degrees_C"
"Station: ","final_1971_2005_Paris_rcp85"
"Latitude: ","48.85"
"Longitude: ","2.35"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, fd, normalised (all years)
1971, 47, 2.42777271027656
1972, 36, 1.5236802686892
1973, 13, -0.366694836448022
1974, 26, 0.701778049064319
1975, 40, 1.85244115653915
1976, 22, 0.373017161214368
1977, 48, 2.50996293223905
1978, 23, 0.455207383176856
1979, 26, 0.701778049064319
1980, 21, 0.29082693925188
1981, 26, 0.701778049064319
1982, 17, -0.0379339485980712
1983, 22, 0.373017161214368
1984, 54, 3.00310426401398
1985, 21, 0.29082693925188
1986, 15, -0.202314392523047
1987, 26, 0.701778049064319
1988, 9, -0.695455724297974
1989, 20, 0.208636717289392
1990, 18, 0.0442562733644166
1991, 26, 0.701778049064319
1992, 18, 0.0442562733644166
1993, 24, 0.537397605139343
1994, 25, 0.619587827101831
1995, 22, 0.373017161214368
1996, 24, 0.537397605139343
1997, 22, 0.373017161214368
1998, 6, -0.942026390185437
1999, 25, 0.619587827101831
2000, 32, 1.19491938083925
2001, 23, 0.455207383176856
2002, 13, -0.366694836448022
2003, 18, 0.0442562733644166
2004, 31, 1.11272915887676
2005, 66, 3.98938692756383
2006, 23, 0.455207383176856
2007, 32, 1.19491938083925
2008, 13, -0.366694836448022
2009, 20, 0.208636717289392
2010, 38, 1.68806071261417
2011, 15, -0.202314392523047
2012, 13, -0.366694836448022
2013, 31, 1.11272915887676
2014, 14, -0.284504614485535
2015, 5, -1.02421661214792
2016, 24, 0.537397605139343
2017, 11, -0.531075280372998
2018, 14, -0.284504614485535
2019, 11, -0.531075280372998
2020, 33, 1.27710960280173
2021, 38, 1.68806071261417
2022, 36, 1.5236802686892
2023, 37, 1.60587049065168
2024, 35, 1.44149004672671
2025, 23, 0.455207383176856
2026, 9, -0.695455724297974
2027, 6, -0.942026390185437
2028, 17, -0.0379339485980712
2029, 19, 0.126446495326904
2030, 16, -0.120124170560559
2031, 23, 0.455207383176856
2032, 14, -0.284504614485535
2033, 24, 0.537397605139343
2034, 12, -0.44888505841051
2035, 31, 1.11272915887676
2036, 10, -0.613265502335486
2037, 20, 0.208636717289392
2038, 31, 1.11272915887676
2039, 7, -0.859836168222949
2040, 23, 0.455207383176856
2041, 14, -0.284504614485535
2042, 19, 0.126446495326904
2043, 12, -0.44888505841051
2044, 19, 0.126446495326904
2045, 8, -0.777645946260461
2046, 29, 0.948348714951782
2047, 13, -0.366694836448022
2048, 11, -0.531075280372998
2049, 29, 0.948348714951782
2050, 10, -0.613265502335486
2051, 16, -0.120124170560559
2052, 21, 0.29082693925188
2053, 10, -0.613265502335486
2054, 11, -0.531075280372998
2055, 3, -1.1885970560729
2056, 3, -1.1885970560729
2057, 12, -0.44888505841051
2058, 11, -0.531075280372998
2059, 7, -0.859836168222949
2060, 12, -0.44888505841051
2061, 11, -0.531075280372998
2062, 7, -0.859836168222949
2063, 14, -0.284504614485535
2064, 10, -0.613265502335486
2065, 34, 1.35929982476422
2066, 45, 2.26339226635159
2067, 7, -0.859836168222949
2068, 19, 0.126446495326904
2069, 15, -0.202314392523047
2070, 5, -1.02421661214792
2071, 7, -0.859836168222949
2072, 1, -1.35297749999788
2073, 12, -0.44888505841051
2074, 6, -0.942026390185437
2075, 2, -1.27078727803539
2076, 10, -0.613265502335486
2077, 0, -1.43516772196036
2078, 11, -0.531075280372998
2079, 7, -0.859836168222949
2080, 7, -0.859836168222949
2081, 26, 0.701778049064319
2082, 7, -0.859836168222949
2083, 9, -0.695455724297974
2084, 2, -1.27078727803539
2085, 0, -1.43516772196036
2086, 13, -0.366694836448022
2087, 8, -0.777645946260461
2088, 5, -1.02421661214792
2089, 0, -1.43516772196036
2090, 18, 0.0442562733644166
2091, 3, -1.1885970560729
2092, 23, 0.455207383176856
2093, 0, -1.43516772196036
2094, 7, -0.859836168222949
2095, 3, -1.1885970560729
2096, 2, -1.27078727803539
2097, 6, -0.942026390185437
2098, 0, -1.43516772196036
2099, 3, -1.1885970560729
2100, 2, -1.27078727803539
