"Description: ","Maximum 3-day precipitation total"
"Station: ","final_1971_2005_Paris_rcp85"
"Latitude: ","48.85"
"Longitude: ","2.35"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, rx3day, normalised (all years)
1971-01, 34.66428912, 0.485785542613173
1971-02, 9.585775008, -1.09941383879961
1971-03, 12.616472736, -0.907845066334902
1971-04, 13.6547351424, -0.842217058350893
1971-05, 13.4363756448, -0.85601944468747
1971-06, 14.313360096, -0.800585729462465
1971-07, 27.689957568, 0.044941798337752
1971-08, 40.1129997552, 0.830195609726494
1971-09, 47.6172, 1.30453206893333
1971-10, 10.5432677568, -1.03889123740758
1971-11, 29.519021376, 0.160555937359599
1971-12, 19.892634048, -0.447922825354805
1972-01, 31.67616374784, 0.296907745851468
1972-02, 19.3807580256, -0.480278233272703
1972-03, 34.82668656, 0.496050597403952
1972-04, 10.816758144, -1.02160405720721
1972-05, 47.016061632, 1.26653443618517
1972-06, 27.04019471424, 0.00387063801121147
1972-07, 20.8832992128, -0.385303413398627
1972-08, 49.2048670464, 1.40488764855829
1972-09, 12.694994784, -0.902881729936223
1972-10, 34.106061312, 0.450500263270981
1972-11, 12.539605248, -0.912703818886356
1972-12, 14.1625215072, -0.810120155489106
1973-01, 10.5018849216, -1.04150702415105
1973-02, 18.4796377344, -0.537237561955786
1973-03, 30.278831616, 0.208583133750105
1973-04, 6.23894726592, -1.31096501933394
1973-05, 17.213715648, -0.61725581580113
1973-06, 18.0084433248, -0.567021507020764
1973-07, 12.9663626688, -0.885728711970362
1973-08, 24.442026048, -0.160358205218339
1973-09, 64.28227392, 2.3579224233699
1973-10, 32.37560928, 0.341119321543723
1973-11, 25.50415464, -0.0932216284857652
1973-12, 18.563590368, -0.531930961163715
1974-01, 16.157856672, -0.683996093480239
1974-02, 8.484036768, -1.16905412006696
1974-03, 36.692877312, 0.61401151057676
1974-04, 8.27991072, -1.18195681771383
1974-05, 41.779106208, 0.935509302019079
1974-06, 5.38656048, -1.36484392937344
1974-07, 22.05201932064, -0.311429244310349
1974-08, 58.8470413824, 2.01436429955285
1974-09, 73.060636608, 2.91279800494099
1974-10, 51.02545968, 1.51996632920495
1974-11, 25.565590656, -0.0893382909752279
1974-12, 12.535086528, -0.912989444745878
1975-01, 27.965661696, 0.062368907902805
1975-02, 9.461406528, -1.10727510349348
1975-03, 34.0146402624, 0.444721587922561
1975-04, 19.60545575808, -0.466075210520182
1975-05, 13.434887232, -0.856113526459592
1975-06, 34.5114075168, 0.476121978745724
1975-07, 13.84914026592, -0.829928815109244
1975-08, 49.1744497536, 1.40296498784899
1975-09, 71.606444688, 2.82087931622823
1975-10, 50.98554288, 1.51744320975754
1975-11, 16.340873472, -0.672427700039843
1975-12, 25.087555008, -0.119554667037965
1976-01, 19.078416, -0.499389110010287
1976-02, 13.2928869312, -0.865089289057938
1976-03, 24.3917345088, -0.163537106347573
1976-04, 24.3917345088, -0.163537106347573
1976-05, 23.5416289248, -0.217271822841304
1976-06, 13.921119648, -0.825379037102536
1976-07, 65.2971167424, 2.42207009205215
1976-08, 12.399669216, -0.921549100164708
1976-09, 16.09452154944, -0.68799947249446
1976-10, 33.47742122784, 0.410764261843972
1976-11, 27.893526336, 0.057809270615711
1976-12, 21.832570656, -0.325300476309406
1977-01, 17.729371584, -0.584661481578677
1977-02, 11.90133216, -0.953048717302243
1977-03, 23.42465941248, -0.224665402769753
1977-04, 35.028326016, 0.50879611890862
1977-05, 22.206287808, -0.301678016241476
1977-06, 32.075784, 0.322167526941167
1977-07, 25.7565103776, -0.0772703581133281
1977-08, 24.929932032, -0.129517930528607
1977-09, 28.847205648, 0.118090826719754
1977-10, 40.4461185408, 0.851251868901651
1977-11, 29.334278304, 0.148878427195048
1977-12, 9.67028112, -1.09407225293572
1978-01, 20.1415231584, -0.432190678622169
1978-02, 21.51641664, -0.34528440152747
1978-03, 18.628255584, -0.527843507658921
1978-04, 16.0058414016, -0.693604896917603
1978-05, 20.994947712, -0.378246171846073
1978-06, 35.115691104, 0.514318419106956
1978-07, 54.1768995072, 1.71916714478463
1978-08, 8.0985456288, -1.19342080752982
1978-09, 9.99524568096, -1.07353141791199
1978-10, 38.9199864384, 0.754785879972862
1978-11, 33.103173312, 0.387108252479337
1978-12, 12.984966144, -0.884552796314136
1979-01, 29.2612424832, 0.144261872265355
1979-02, 6.1923231648, -1.31391210367571
1979-03, 9.8957486592, -1.07982057111469
1979-04, 3.384340272, -1.4914031912579
1979-05, 49.296948192, 1.41070804821966
1979-06, 42.317243424, 0.969524665852386
1979-07, 34.89988032, 0.500677135585485
1979-08, 18.519170184, -0.534738737090334
1979-09, 18.18471168, -0.555879679144606
1979-10, 95.3492256, 4.32164772087276
1979-11, 22.462858656, -0.28546031100895
1979-12, 38.1961155744, 0.709030392199108
1980-01, 11.7593727264, -0.962021896706869
1980-02, 12.042742176, -0.944110266288452
1980-03, 11.952781632, -0.949796623863845
1980-04, 14.4398808, -0.792588423847746
1980-05, 40.994114688, 0.885890410470682
1980-06, 56.87775936, 1.889887042655
1980-07, 58.80442752, 2.01167070024252
1980-08, 40.97756736, 0.884844462772485
1980-09, 39.259786752, 0.77626447493734
1980-10, 17.08885728, -0.625148046051849
1980-11, 25.311137472, -0.105422139805901
1980-12, 26.434269216, -0.0344295866632909
1981-01, 18.0716403888, -0.563026854613827
1981-02, 34.727524416, 0.489782611644256
1981-03, 8.7211046304, -1.15406918805898
1981-04, 23.91385460544, -0.193743637875427
1981-05, 8.193478752, -1.18742013589911
1981-06, 15.641038656, -0.716663882154137
1981-07, 17.551765152, -0.595887888569297
1981-08, 11.65122576, -0.968857808255429
1981-09, 41.38644951072, 0.910689683486017
1981-10, 18.5130105984, -0.535128081181426
1981-11, 7.0613716032, -1.25898001954915
1981-12, 7.4047614912, -1.23727452951852
1982-01, 15.868151424, -0.70230820630601
1982-02, 10.665926208, -1.03113806271394
1982-03, 23.107335264, -0.24472329143219
1982-04, 11.665079136, -0.967982143813445
1982-05, 62.318558304, 2.23379701602512
1982-06, 13.88156832, -0.827879055261493
1982-07, 26.496876384, -0.0304722212650707
1982-08, 11.702673504, -0.965605824042981
1982-09, 8.615824416, -1.16072389375632
1982-10, 36.9546957504, 0.630560913174562
1982-11, 5.021128224, -1.3879427056236
1982-12, 30.726767232, 0.236896902987979
1983-01, 15.5385432, -0.723142564771584
1983-02, 21.895009344, -0.321353760441321
1983-03, 18.698460768, -0.523405875758093
1983-04, 71.4218688, 2.80921237367435
1983-05, 21.695306112, -0.333976894268897
1983-06, 58.274217504, 1.97815641045532
1983-07, 60.128846208, 2.09538649279598
1983-08, 56.065436064, 1.83854052425381
1983-09, 23.73743041056, -0.204895316293895
1983-10, 9.27864120384, -1.11882760128135
1983-11, 10.9080792288, -1.01583170058
1983-12, 35.77997448, 0.556307413830297
1984-01, 29.43066096, 0.154970723014003
1984-02, 30.571483968, 0.227081531433778
1984-03, 9.38203577279999, -1.11229208621755
1984-04, 23.846513184, -0.198000252885926
1984-05, 32.81635728, 0.36897876544214
1984-06, 14.560450272, -0.784967292405185
1984-07, 72.838598112, 2.89876307109534
1984-08, 16.3339625088, -0.672864538304689
1984-09, 9.9477831456, -1.07653149923088
1984-10, 21.1105656, -0.370938027363536
1984-11, 16.617089952, -0.654968204980584
1984-12, 11.3837795712, -0.98576293792753
1985-01, 6.46842049056, -1.29646014029184
1985-02, 4.1040906336, -1.44590815822347
1985-03, 9.504368928, -1.10455947330901
1985-04, 12.814098912, -0.895353222099351
1985-05, 27.528767136, 0.03475303787312
1985-06, 26.5585103424, -0.026576371921949
1985-07, 43.232151168, 1.02735549200746
1985-08, 47.893953888, 1.32202553326307
1985-09, 26.1279333504, -0.0537929118780536
1985-10, 41.5076531328, 0.918350899213877
1985-11, 8.99254051199999, -1.13691187205199
1985-12, 12.080522304, -0.941722204728352
1986-01, 23.14476288, -0.242357511965911
1986-02, 31.081200768, 0.259300456065723
1986-03, 21.4698636288, -0.348226992313654
1986-04, 8.20492875647999, -1.18669638727756
1986-05, 17.95832233056, -0.570189628094852
1986-06, 33.381169632, 0.404680250267203
