"Description: ","Heatwave definitions and aspects"
"Station: ","final_1971_2005_Paris_rcp85"
"Latitude: ","48.85"
"Longitude: ","2.35"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, HWM, HWA, HWN, HWD, HWF
1971, 35.18722, 38.3336, 1, 10, 10
1972, 30.7429333333333, 31.0973, 1, 3, 3
1973, 34.6704851851852, 44.6906, 3, 9, 18
1974, 29.3939666666667, 32.3339, 2, 3, 6
1975, 28.4374, 30.6775, 1, 4, 4
1976, 27.0357375, 29.0391, 2, 8, 14
1977, -99.9, -99.9, 0, -99.9, 0
1978, -99.9, -99.9, 0, -99.9, 0
1979, 28.5707166666667, 29.7304, 2, 3, 6
1980, 27.7000333333334, 28.8923, 1, 3, 3
1981, 29.9367, 31.4474, 1, 3, 3
1982, 29.3903285714286, 32.0646, 1, 7, 7
1983, 28.6794375, 29.671, 2, 4, 6
1984, 29.0846366666667, 31.284, 2, 5, 8
1985, 34.0526, 34.837, 1, 3, 3
1986, -99.9, -99.9, 0, -99.9, 0
1987, 33.02685, 35.596, 2, 4, 7
1988, 30.8012, 33.7882, 2, 3, 6
1989, 28.636575, 29.4405, 1, 4, 4
1990, 33.9308666666667, 35.1081, 1, 3, 3
1991, -99.9, -99.9, 0, -99.9, 0
1992, -99.9, -99.9, 0, -99.9, 0
1993, 31.8068683333334, 36.5099, 4, 5, 15
1994, -99.9, -99.9, 0, -99.9, 0
1995, 31.3512, 32.4781, 1, 4, 4
1996, 34.530925, 35.6111, 1, 4, 4
1997, 35.17934, 40.2698, 1, 5, 5
1998, 29.3327333333334, 30.122, 1, 3, 3
1999, 32.5628527777778, 35.5891, 3, 6, 13
2000, 35.6504275, 41.4071, 2, 10, 14
2001, 31.3128333333334, 32.7652, 1, 3, 3
2002, 30.6221416666667, 37.5649, 4, 8, 17
2003, 33.74342, 34.5896, 1, 5, 5
2004, 32.9851825396826, 39.6902, 3, 7, 17
2005, 32.6321669047619, 35.6512, 7, 6, 28
2006, -99.9, -99.9, 0, -99.9, 0
2007, 30.1059833333334, 35.4278, 3, 5, 14
2008, 31.8252111111111, 36.8451, 3, 6, 12
2009, 33.7186257142857, 43.4487, 5, 9, 27
2010, 30.80613, 37.8275, 2, 5, 10
2011, 31.1277208333334, 37.8951, 2, 4, 7
2012, 33.11975, 33.3705, 1, 4, 4
2013, 32.9983714285714, 34.4146, 1, 7, 7
2014, 32.43515, 40.5691, 2, 10, 15
2015, 32.6932888888889, 34.0449, 3, 9, 15
2016, 31.2494625, 33.9637, 2, 4, 7
2017, 34.17715, 36.4777, 2, 3, 6
2018, 30.0488133333334, 32.9168, 2, 5, 8
2019, 32.7330055555556, 37.7783, 3, 4, 10
2020, 27.728, 28.3411, 1, 4, 4
2021, 31.077, 32.2499, 1, 9, 9
2022, 30.72885, 31.7094, 2, 3, 6
2023, 29.9127875, 33.4253, 2, 4, 7
2024, -99.9, -99.9, 0, -99.9, 0
2025, 34.33015, 36.1087, 1, 6, 6
2026, 30.5855166666667, 34.0554, 2, 4, 7
2027, 29.0755675, 30.7596, 2, 5, 9
2028, 32.6017390476191, 36.8286, 4, 7, 21
2029, 36.0235625, 38.9393, 1, 8, 8
2030, 32.1183657142857, 36.8025, 5, 7, 20
2031, 28.7773, 31.4006, 2, 3, 6
2032, 35.0199096320346, 40.0201, 7, 11, 32
2033, 31.0776253968254, 34.3689, 3, 7, 17
2034, 35.4492428571429, 37.7411, 1, 7, 7
