"Description: ","Monthly number of days when TM >= 10 degrees_C"
"Station: ","final_1971_2005_Vienna_rcp45"
"Latitude: ","48.2"
"Longitude: ","16.37"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, tmge10, normalised (all years)
1971-01, 1, -1.24535504499941
1971-02, 0, -1.3217301627491
1971-03, 2, -1.16897992724971
1971-04, 7, -0.787104338501217
1971-05, 28, 0.816773134242446
1971-06, 30, 0.969523369741842
1971-07, 31, 1.04589848749154
1971-08, 31, 1.04589848749154
1971-09, 30, 0.969523369741842
1971-10, 16, -0.0997282787539328
1971-11, 2, -1.16897992724971
1971-12, 0, -1.3217301627491
1972-01, 0, -1.3217301627491
1972-02, 2, -1.16897992724971
1972-03, 3, -1.09260480950001
1972-04, 24, 0.511272663243653
1972-05, 25, 0.587647780993351
1972-06, 30, 0.969523369741842
1972-07, 31, 1.04589848749154
1972-08, 31, 1.04589848749154
1972-09, 30, 0.969523369741842
1972-10, 25, 0.587647780993351
1972-11, 5, -0.939854574000613
1972-12, 0, -1.3217301627491
1973-01, 0, -1.3217301627491
1973-02, 0, -1.3217301627491
1973-03, 6, -0.863479456250915
1973-04, 13, -0.328853632003027
1973-05, 28, 0.816773134242446
1973-06, 30, 0.969523369741842
1973-07, 31, 1.04589848749154
1973-08, 31, 1.04589848749154
1973-09, 26, 0.66402289874305
1973-10, 22, 0.358522427744257
1973-11, 8, -0.710729220751519
1973-12, 1, -1.24535504499941
1974-01, 0, -1.3217301627491
1974-02, 2, -1.16897992724971
1974-03, 2, -1.16897992724971
1974-04, 22, 0.358522427744257
1974-05, 31, 1.04589848749154
1974-06, 30, 0.969523369741842
1974-07, 31, 1.04589848749154
1974-08, 31, 1.04589848749154
1974-09, 30, 0.969523369741842
1974-10, 18, 0.0530219567454637
1974-11, 2, -1.16897992724971
1974-12, 0, -1.3217301627491
1975-01, 0, -1.3217301627491
1975-02, 0, -1.3217301627491
1975-03, 0, -1.3217301627491
1975-04, 24, 0.511272663243653
1975-05, 31, 1.04589848749154
1975-06, 30, 0.969523369741842
1975-07, 31, 1.04589848749154
1975-08, 31, 1.04589848749154
1975-09, 30, 0.969523369741842
1975-10, 11, -0.481603867502424
1975-11, 2, -1.16897992724971
1975-12, 0, -1.3217301627491
1976-01, 0, -1.3217301627491
1976-02, 1, -1.24535504499941
1976-03, 1, -1.24535504499941
1976-04, 16, -0.0997282787539328
1976-05, 29, 0.893148251992144
1976-06, 30, 0.969523369741842
1976-07, 31, 1.04589848749154
1976-08, 31, 1.04589848749154
1976-09, 30, 0.969523369741842
1976-10, 16, -0.0997282787539328
1976-11, 0, -1.3217301627491
1976-12, 0, -1.3217301627491
1977-01, 1, -1.24535504499941
1977-02, 0, -1.3217301627491
1977-03, 4, -1.01622969175031
1977-04, 7, -0.787104338501217
1977-05, 30, 0.969523369741842
1977-06, 30, 0.969523369741842
1977-07, 31, 1.04589848749154
1977-08, 31, 1.04589848749154
1977-09, 30, 0.969523369741842
1977-10, 16, -0.0997282787539328
1977-11, 6, -0.863479456250915
1977-12, 0, -1.3217301627491
1978-01, 0, -1.3217301627491
1978-02, 0, -1.3217301627491
1978-03, 0, -1.3217301627491
1978-04, 7, -0.787104338501217
1978-05, 31, 1.04589848749154
1978-06, 30, 0.969523369741842
1978-07, 31, 1.04589848749154
1978-08, 31, 1.04589848749154
1978-09, 29, 0.893148251992144
1978-10, 23, 0.434897545493955
1978-11, 2, -1.16897992724971
1978-12, 0, -1.3217301627491
1979-01, 2, -1.16897992724971
1979-02, 0, -1.3217301627491
1979-03, 0, -1.3217301627491
1979-04, 13, -0.328853632003027
1979-05, 31, 1.04589848749154
1979-06, 30, 0.969523369741842
1979-07, 31, 1.04589848749154
1979-08, 31, 1.04589848749154
1979-09, 29, 0.893148251992144
1979-10, 23, 0.434897545493955
1979-11, 6, -0.863479456250915
1979-12, 0, -1.3217301627491
1980-01, 0, -1.3217301627491
1980-02, 0, -1.3217301627491
1980-03, 6, -0.863479456250915
1980-04, 23, 0.434897545493955
1980-05, 31, 1.04589848749154
1980-06, 30, 0.969523369741842
1980-07, 31, 1.04589848749154
1980-08, 31, 1.04589848749154
1980-09, 30, 0.969523369741842
1980-10, 9, -0.63435410300182
1980-11, 9, -0.63435410300182
1980-12, 2, -1.16897992724971
1981-01, 0, -1.3217301627491
1981-02, 3, -1.09260480950001
1981-03, 5, -0.939854574000613
1981-04, 15, -0.176103396503631
1981-05, 29, 0.893148251992144
1981-06, 30, 0.969523369741842
1981-07, 31, 1.04589848749154
1981-08, 31, 1.04589848749154
1981-09, 30, 0.969523369741842
1981-10, 12, -0.405228749752726
1981-11, 0, -1.3217301627491
1981-12, 0, -1.3217301627491
1982-01, 0, -1.3217301627491
1982-02, 0, -1.3217301627491
1982-03, 6, -0.863479456250915
1982-04, 20, 0.20577219224486
1982-05, 31, 1.04589848749154
1982-06, 30, 0.969523369741842
1982-07, 31, 1.04589848749154
1982-08, 31, 1.04589848749154
1982-09, 30, 0.969523369741842
1982-10, 29, 0.893148251992144
1982-11, 0, -1.3217301627491
1982-12, 0, -1.3217301627491
1983-01, 0, -1.3217301627491
1983-02, 1, -1.24535504499941
1983-03, 7, -0.787104338501217
1983-04, 20, 0.20577219224486
1983-05, 31, 1.04589848749154
1983-06, 30, 0.969523369741842
1983-07, 31, 1.04589848749154
1983-08, 31, 1.04589848749154
1983-09, 30, 0.969523369741842
1983-10, 21, 0.282147309994558
1983-11, 0, -1.3217301627491
1983-12, 0, -1.3217301627491
1984-01, 0, -1.3217301627491
1984-02, 0, -1.3217301627491
1984-03, 6, -0.863479456250915
1984-04, 13, -0.328853632003027
1984-05, 30, 0.969523369741842
1984-06, 30, 0.969523369741842
1984-07, 31, 1.04589848749154
1984-08, 31, 1.04589848749154
1984-09, 30, 0.969523369741842
1984-10, 12, -0.405228749752726
1984-11, 1, -1.24535504499941
1984-12, 0, -1.3217301627491
1985-01, 0, -1.3217301627491
1985-02, 0, -1.3217301627491
1985-03, 6, -0.863479456250915
1985-04, 16, -0.0997282787539328
1985-05, 29, 0.893148251992144
1985-06, 30, 0.969523369741842
1985-07, 31, 1.04589848749154
1985-08, 31, 1.04589848749154
1985-09, 30, 0.969523369741842
1985-10, 20, 0.20577219224486
1985-11, 0, -1.3217301627491
1985-12, 0, -1.3217301627491
1986-01, 0, -1.3217301627491
1986-02, 0, -1.3217301627491
1986-03, 10, -0.557978985252122
1986-04, 10, -0.557978985252122
1986-05, 25, 0.587647780993351
1986-06, 30, 0.969523369741842
1986-07, 31, 1.04589848749154
1986-08, 31, 1.04589848749154
1986-09, 29, 0.893148251992144
1986-10, 22, 0.358522427744257
1986-11, 7, -0.787104338501217
1986-12, 1, -1.24535504499941
1987-01, 0, -1.3217301627491
1987-02, 0, -1.3217301627491
1987-03, 4, -1.01622969175031
1987-04, 25, 0.587647780993351
1987-05, 27, 0.740398016492748
1987-06, 30, 0.969523369741842
1987-07, 31, 1.04589848749154
1987-08, 31, 1.04589848749154
1987-09, 30, 0.969523369741842
1987-10, 15, -0.176103396503631
1987-11, 6, -0.863479456250915
1987-12, 0, -1.3217301627491
1988-01, 0, -1.3217301627491
1988-02, 0, -1.3217301627491
1988-03, 0, -1.3217301627491
1988-04, 10, -0.557978985252122
1988-05, 31, 1.04589848749154
1988-06, 30, 0.969523369741842
1988-07, 31, 1.04589848749154
1988-08, 31, 1.04589848749154
1988-09, 30, 0.969523369741842
1988-10, 30, 0.969523369741842
1988-11, 1, -1.24535504499941
1988-12, 1, -1.24535504499941
1989-01, 0, -1.3217301627491
1989-02, 1, -1.24535504499941
1989-03, 18, 0.0530219567454637
1989-04, 15, -0.176103396503631
1989-05, 31, 1.04589848749154
1989-06, 30, 0.969523369741842
1989-07, 31, 1.04589848749154
1989-08, 31, 1.04589848749154
1989-09, 30, 0.969523369741842
1989-10, 11, -0.481603867502424
1989-11, 4, -1.01622969175031
1989-12, 0, -1.3217301627491
1990-01, 0, -1.3217301627491
1990-02, 0, -1.3217301627491
1990-03, 7, -0.787104338501217
1990-04, 16, -0.0997282787539328
1990-05, 30, 0.969523369741842
1990-06, 30, 0.969523369741842
1990-07, 31, 1.04589848749154
1990-08, 31, 1.04589848749154
1990-09, 30, 0.969523369741842
1990-10, 19, 0.129397074495162
1990-11, 4, -1.01622969175031
1990-12, 1, -1.24535504499941
1991-01, 0, -1.3217301627491
1991-02, 0, -1.3217301627491
1991-03, 4, -1.01622969175031
1991-04, 8, -0.710729220751519
1991-05, 31, 1.04589848749154
1991-06, 30, 0.969523369741842
1991-07, 31, 1.04589848749154
1991-08, 31, 1.04589848749154
1991-09, 30, 0.969523369741842
1991-10, 22, 0.358522427744257
1991-11, 4, -1.01622969175031
1991-12, 0, -1.3217301627491
1992-01, 0, -1.3217301627491
1992-02, 0, -1.3217301627491
1992-03, 0, -1.3217301627491
1992-04, 21, 0.282147309994558
1992-05, 31, 1.04589848749154
1992-06, 30, 0.969523369741842
1992-07, 31, 1.04589848749154
1992-08, 31, 1.04589848749154
1992-09, 29, 0.893148251992144
1992-10, 17, -0.0233531610042345
1992-11, 1, -1.24535504499941
1992-12, 0, -1.3217301627491
1993-01, 0, -1.3217301627491
1993-02, 0, -1.3217301627491
1993-03, 1, -1.24535504499941
1993-04, 21, 0.282147309994558
1993-05, 31, 1.04589848749154
1993-06, 30, 0.969523369741842
1993-07, 31, 1.04589848749154
1993-08, 31, 1.04589848749154
1993-09, 28, 0.816773134242446
1993-10, 15, -0.176103396503631
1993-11, 7, -0.787104338501217
1993-12, 0, -1.3217301627491
1994-01, 0, -1.3217301627491
1994-02, 4, -1.01622969175031
1994-03, 4, -1.01622969175031
1994-04, 18, 0.0530219567454637
1994-05, 28, 0.816773134242446
1994-06, 30, 0.969523369741842
1994-07, 31, 1.04589848749154
1994-08, 31, 1.04589848749154
1994-09, 30, 0.969523369741842
1994-10, 29, 0.893148251992144
1994-11, 11, -0.481603867502424
1994-12, 0, -1.3217301627491
1995-01, 0, -1.3217301627491
1995-02, 0, -1.3217301627491
1995-03, 9, -0.63435410300182
1995-04, 14, -0.252478514253329
1995-05, 31, 1.04589848749154
1995-06, 30, 0.969523369741842
1995-07, 31, 1.04589848749154
1995-08, 31, 1.04589848749154
1995-09, 29, 0.893148251992144
1995-10, 14, -0.252478514253329
1995-11, 1, -1.24535504499941
1995-12, 0, -1.3217301627491
1996-01, 0, -1.3217301627491
1996-02, 3, -1.09260480950001
1996-03, 8, -0.710729220751519
1996-04, 17, -0.0233531610042345
1996-05, 28, 0.816773134242446
1996-06, 30, 0.969523369741842
1996-07, 31, 1.04589848749154
1996-08, 31, 1.04589848749154
1996-09, 28, 0.816773134242446
1996-10, 11, -0.481603867502424
1996-11, 0, -1.3217301627491
1996-12, 0, -1.3217301627491
1997-01, 0, -1.3217301627491
1997-02, 0, -1.3217301627491
1997-03, 1, -1.24535504499941
1997-04, 19, 0.129397074495162
1997-05, 31, 1.04589848749154
1997-06, 30, 0.969523369741842
1997-07, 31, 1.04589848749154
1997-08, 31, 1.04589848749154
1997-09, 30, 0.969523369741842
1997-10, 18, 0.0530219567454637
1997-11, 3, -1.09260480950001
1997-12, 2, -1.16897992724971
1998-01, 1, -1.24535504499941
1998-02, 0, -1.3217301627491
1998-03, 12, -0.405228749752726
1998-04, 26, 0.66402289874305
1998-05, 31, 1.04589848749154
1998-06, 30, 0.969523369741842
1998-07, 31, 1.04589848749154
1998-08, 31, 1.04589848749154
1998-09, 27, 0.740398016492748
1998-10, 15, -0.176103396503631
1998-11, 4, -1.01622969175031
1998-12, 1, -1.24535504499941
1999-01, 0, -1.3217301627491
1999-02, 0, -1.3217301627491
1999-03, 7, -0.787104338501217
1999-04, 20, 0.20577219224486
1999-05, 31, 1.04589848749154
1999-06, 30, 0.969523369741842
1999-07, 31, 1.04589848749154
1999-08, 31, 1.04589848749154
1999-09, 30, 0.969523369741842
1999-10, 24, 0.511272663243653
1999-11, 9, -0.63435410300182
1999-12, 1, -1.24535504499941
2000-01, 0, -1.3217301627491
2000-02, 2, -1.16897992724971
2000-03, 16, -0.0997282787539328
2000-04, 25, 0.587647780993351
2000-05, 29, 0.893148251992144
2000-06, 30, 0.969523369741842
2000-07, 31, 1.04589848749154
2000-08, 31, 1.04589848749154
2000-09, 30, 0.969523369741842
2000-10, 18, 0.0530219567454637
2000-11, 3, -1.09260480950001
2000-12, 3, -1.09260480950001
2001-01, 2, -1.16897992724971
2001-02, 0, -1.3217301627491
2001-03, 3, -1.09260480950001
2001-04, 27, 0.740398016492748
2001-05, 29, 0.893148251992144
2001-06, 30, 0.969523369741842
2001-07, 31, 1.04589848749154
2001-08, 31, 1.04589848749154
2001-09, 29, 0.893148251992144
2001-10, 21, 0.282147309994558
2001-11, 8, -0.710729220751519
2001-12, 0, -1.3217301627491
2002-01, 4, -1.01622969175031
2002-02, 0, -1.3217301627491
2002-03, 2, -1.16897992724971
2002-04, 20, 0.20577219224486
2002-05, 29, 0.893148251992144
2002-06, 30, 0.969523369741842
2002-07, 31, 1.04589848749154
2002-08, 31, 1.04589848749154
2002-09, 28, 0.816773134242446
2002-10, 26, 0.66402289874305
2002-11, 1, -1.24535504499941
2002-12, 0, -1.3217301627491
2003-01, 1, -1.24535504499941
2003-02, 1, -1.24535504499941
2003-03, 11, -0.481603867502424
2003-04, 23, 0.434897545493955
2003-05, 31, 1.04589848749154
2003-06, 30, 0.969523369741842
2003-07, 31, 1.04589848749154
2003-08, 31, 1.04589848749154
2003-09, 30, 0.969523369741842
2003-10, 20, 0.20577219224486
2003-11, 10, -0.557978985252122
2003-12, 0, -1.3217301627491
2004-01, 3, -1.09260480950001
2004-02, 0, -1.3217301627491
2004-03, 11, -0.481603867502424
2004-04, 17, -0.0233531610042345
2004-05, 28, 0.816773134242446
2004-06, 30, 0.969523369741842
2004-07, 31, 1.04589848749154
2004-08, 31, 1.04589848749154
2004-09, 30, 0.969523369741842
2004-10, 15, -0.176103396503631
2004-11, 2, -1.16897992724971
2004-12, 0, -1.3217301627491
2005-01, 0, -1.3217301627491
2005-02, 0, -1.3217301627491
2005-03, 1, -1.24535504499941
2005-04, 18, 0.0530219567454637
2005-05, 31, 1.04589848749154
2005-06, 30, 0.969523369741842
2005-07, 31, 1.04589848749154
2005-08, 31, 1.04589848749154
2005-09, 30, 0.969523369741842
2005-10, 24, 0.511272663243653
2005-11, 2, -1.16897992724971
2005-12, 0, -1.3217301627491
2006-01, 0, -1.3217301627491
2006-02, 2, -1.16897992724971
2006-03, 6, -0.863479456250915
2006-04, 20, 0.20577219224486
2006-05, 31, 1.04589848749154
2006-06, 30, 0.969523369741842
2006-07, 31, 1.04589848749154
2006-08, 31, 1.04589848749154
2006-09, 30, 0.969523369741842
2006-10, 16, -0.0997282787539328
2006-11, 6, -0.863479456250915
2006-12, 2, -1.16897992724971
2007-01, 0, -1.3217301627491
2007-02, 0, -1.3217301627491
2007-03, 1, -1.24535504499941
2007-04, 20, 0.20577219224486
2007-05, 31, 1.04589848749154
2007-06, 30, 0.969523369741842
2007-07, 31, 1.04589848749154
2007-08, 31, 1.04589848749154
2007-09, 30, 0.969523369741842
2007-10, 22, 0.358522427744257
2007-11, 8, -0.710729220751519
2007-12, 0, -1.3217301627491
2008-01, 1, -1.24535504499941
2008-02, 0, -1.3217301627491
2008-03, 8, -0.710729220751519
2008-04, 13, -0.328853632003027
2008-05, 31, 1.04589848749154
2008-06, 30, 0.969523369741842
2008-07, 31, 1.04589848749154
2008-08, 31, 1.04589848749154
2008-09, 29, 0.893148251992144
2008-10, 7, -0.787104338501217
2008-11, 1, -1.24535504499941
2008-12, 1, -1.24535504499941
2009-01, 0, -1.3217301627491
2009-02, 3, -1.09260480950001
2009-03, 8, -0.710729220751519
2009-04, 28, 0.816773134242446
2009-05, 28, 0.816773134242446
2009-06, 30, 0.969523369741842
2009-07, 31, 1.04589848749154
2009-08, 31, 1.04589848749154
2009-09, 30, 0.969523369741842
2009-10, 20, 0.20577219224486
2009-11, 0, -1.3217301627491
2009-12, 0, -1.3217301627491
2010-01, 0, -1.3217301627491
2010-02, 0, -1.3217301627491
2010-03, 0, -1.3217301627491
2010-04, 16, -0.0997282787539328
2010-05, 28, 0.816773134242446
2010-06, 30, 0.969523369741842
2010-07, 31, 1.04589848749154
2010-08, 31, 1.04589848749154
2010-09, 30, 0.969523369741842
2010-10, 23, 0.434897545493955
2010-11, 9, -0.63435410300182
2010-12, 0, -1.3217301627491
2011-01, 1, -1.24535504499941
2011-02, 4, -1.01622969175031
2011-03, 1, -1.24535504499941
2011-04, 19, 0.129397074495162
2011-05, 31, 1.04589848749154
2011-06, 30, 0.969523369741842
2011-07, 31, 1.04589848749154
2011-08, 31, 1.04589848749154
2011-09, 30, 0.969523369741842
2011-10, 13, -0.328853632003027
2011-11, 5, -0.939854574000613
2011-12, 1, -1.24535504499941
2012-01, 0, -1.3217301627491
2012-02, 0, -1.3217301627491
2012-03, 2, -1.16897992724971
2012-04, 17, -0.0233531610042345
2012-05, 31, 1.04589848749154
2012-06, 30, 0.969523369741842
2012-07, 31, 1.04589848749154
2012-08, 31, 1.04589848749154
2012-09, 30, 0.969523369741842
2012-10, 23, 0.434897545493955
2012-11, 11, -0.481603867502424
2012-12, 0, -1.3217301627491
2013-01, 0, -1.3217301627491
2013-02, 0, -1.3217301627491
2013-03, 12, -0.405228749752726
2013-04, 18, 0.0530219567454637
2013-05, 31, 1.04589848749154
2013-06, 30, 0.969523369741842
2013-07, 31, 1.04589848749154
2013-08, 31, 1.04589848749154
2013-09, 30, 0.969523369741842
2013-10, 13, -0.328853632003027
2013-11, 4, -1.01622969175031
2013-12, 0, -1.3217301627491
