"Description: ","Standardised Precipitation Index"
"Station: ","final_1971_2005_Vienna_rcp85"
"Latitude: ","48.2"
"Longitude: ","16.37"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, spi
1971-01, -99.9
1971-02, -99.9
1971-03, -99.9
1971-04, -99.9
1971-05, -99.9
1971-06, -0.416890965500302
1971-07, -0.543088802663224
1971-08, -0.678951107030598
1971-09, -0.438330579134264
1971-10, 0.180360713125903
1971-11, 0.854112712568941
1971-12, 0.770261515000821
1972-01, 1.11651875162803
1972-02, 1.23159717452245
1972-03, 1.33410440972816
1972-04, 1.14853633977126
1972-05, 1.00942793130844
1972-06, 0.859108715617443
1972-07, 1.06548227926204
1972-08, 0.962974365495026
1972-09, 0.442036876792585
1972-10, -0.187364023612482
1972-11, -0.662835958581775
1972-12, -0.554494026097158
1973-01, -1.19301777214594
1973-02, -1.5630032189334
1973-03, -0.776992110186941
1973-04, -0.416820859182233
1973-05, 0.708741343621468
1973-06, 0.636679211655519
1973-07, 0.116804786836109
1973-08, -0.228229005598052
1973-09, -0.675079765639379
1973-10, -0.139318127611006
1973-11, -0.835073160701834
1973-12, -1.03122910836935
1974-01, -0.710320399946058
1974-02, -0.623394053158704
1974-03, 0.770033407121408
1974-04, 0.181509704613279
1974-05, 0.735394467093137
1974-06, 0.996600458420489
1974-07, 2.10578680423404
1974-08, 1.83241594262903
1974-09, 1.22975946810899
1974-10, 1.82680705538249
1974-11, 1.11869767798466
1974-12, 1.91356625609161
1975-01, 0.590846941309586
1975-02, 1.03169817049377
1975-03, 1.17654220013207
1975-04, 0.645690346985559
1975-05, 0.497052256290748
1975-06, -0.735255693295358
1975-07, -0.357205737471828
1975-08, -0.51702918609597
1975-09, -0.112251105348767
1975-10, -0.265506454493849
1975-11, -0.251870943459844
1975-12, 0.209494283534722
1976-01, 0.0271475872824577
1976-02, 0.56654356306208
1976-03, 0.151281930392211
1976-04, 0.252668677594409
1976-05, 0.0108568721509609
1976-06, 0.0671321239216734
1976-07, -0.249075961061219
1976-08, -0.980095411990153
1976-09, -1.89908895846784
1976-10, -2.55399752070914
1976-11, -1.7518907613678
1976-12, -1.93286731155641
1977-01, -1.52280661821314
1977-02, -0.518995069043462
1977-03, -0.0950113899432008
1977-04, 0.22486291910612
1977-05, 0.47769054512616
1977-06, 0.186400684140975
1977-07, 0.147582866209068
1977-08, 1.25861677071411
1977-09, 1.12380634315141
1977-10, 1.63460447691135
1977-11, 1.05957914341751
1977-12, 0.967864942203708
1978-01, 1.37453950451488
1978-02, -0.364837316711098
1978-03, -0.0699088852868995
1978-04, -0.747008075369884
1978-05, -0.737329144735636
1978-06, -0.805465574531497
1978-07, -0.170273317282956
1978-08, 0.552519874959125
1978-09, 0.694236925121928
1978-10, 0.612917042582732
1978-11, 0.52204269979753
1978-12, 0.76954996047192
1979-01, -0.00339068205129963
1979-02, -1.2368726895903
1979-03, -1.50245812694179
1979-04, -1.14945583289476
1979-05, -2.06080221668581
1979-06, -2.3852462612769
1979-07, -1.8592846473362
1979-08, -1.81890014839859
1979-09, -2.0686355375261
1979-10, -2.42023652821493
1979-11, -1.97431829833349
1979-12, -1.36775652272687
1980-01, -1.1475240017569
1980-02, -1.16741104460891
1980-03, -1.0291650749293
1980-04, -0.491779853262952
1980-05, -0.248750709257728
1980-06, 0.217286813006055
1980-07, -0.00911486777963554
1980-08, 0.0164637392096383
1980-09, 0.546492961086126
1980-10, 0.478084818837576
1980-11, 1.40686959098523
1980-12, 1.36835264179565
1981-01, 1.42041980929936
1981-02, 1.65574189470464
1981-03, 0.974913345669944
1981-04, 0.925531166911545
1981-05, -0.394361126545201
1981-06, -0.491234608721297
