"Description: ","Monthly number of days when TN < 0 degrees_C"
"Station: ","final_1971_2005_Vienna_rcp85"
"Latitude: ","48.2"
"Longitude: ","16.37"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, fd, normalised (all years)
1971-01, 15, 1.49617404475571
1971-02, 10, 0.806326107822773
1971-03, 14, 1.35820445736913
1971-04, 0, -0.57336976604311
1971-05, 0, -0.57336976604311
1971-06, 0, -0.57336976604311
1971-07, 0, -0.57336976604311
1971-08, 0, -0.57336976604311
1971-09, 0, -0.57336976604311
1971-10, 0, -0.57336976604311
1971-11, 7, 0.392417345663008
1971-12, 25, 2.8758699186216
1972-01, 26, 3.01383950600819
1972-02, 7, 0.392417345663008
1972-03, 4, -0.021491416496757
1972-04, 0, -0.57336976604311
1972-05, 0, -0.57336976604311
1972-06, 0, -0.57336976604311
1972-07, 0, -0.57336976604311
1972-08, 0, -0.57336976604311
1972-09, 0, -0.57336976604311
1972-10, 0, -0.57336976604311
1972-11, 2, -0.297430591269934
1972-12, 26, 3.01383950600819
1973-01, 16, 1.6341436321423
1973-02, 11, 0.944295695209361
1973-03, 2, -0.297430591269934
1973-04, 2, -0.297430591269934
1973-05, 0, -0.57336976604311
1973-06, 0, -0.57336976604311
1973-07, 0, -0.57336976604311
1973-08, 0, -0.57336976604311
1973-09, 0, -0.57336976604311
1973-10, 0, -0.57336976604311
1973-11, 4, -0.021491416496757
1973-12, 19, 2.04805239430207
1974-01, 23, 2.59993074384842
1974-02, 7, 0.392417345663008
1974-03, 5, 0.116478170889831
1974-04, 0, -0.57336976604311
1974-05, 0, -0.57336976604311
1974-06, 0, -0.57336976604311
1974-07, 0, -0.57336976604311
1974-08, 0, -0.57336976604311
1974-09, 0, -0.57336976604311
1974-10, 1, -0.435400178656522
1974-11, 4, -0.021491416496757
1974-12, 24, 2.73790033123501
1975-01, 28, 3.28977868078136
1975-02, 24, 2.73790033123501
1975-03, 10, 0.806326107822773
1975-04, 0, -0.57336976604311
1975-05, 0, -0.57336976604311
1975-06, 0, -0.57336976604311
1975-07, 0, -0.57336976604311
1975-08, 0, -0.57336976604311
1975-09, 0, -0.57336976604311
1975-10, 9, 0.668356520436185
1975-11, 11, 0.944295695209361
1975-12, 28, 3.28977868078136
1976-01, 29, 3.42774826816795
1976-02, 8, 0.530386933049596
1976-03, 10, 0.806326107822773
1976-04, 1, -0.435400178656522
1976-05, 0, -0.57336976604311
1976-06, 0, -0.57336976604311
1976-07, 0, -0.57336976604311
1976-08, 0, -0.57336976604311
1976-09, 0, -0.57336976604311
1976-10, 2, -0.297430591269934
1976-11, 16, 1.6341436321423
1976-12, 21, 2.32399156907525
1977-01, 20, 2.18602198168866
1977-02, 28, 3.28977868078136
1977-03, 8, 0.530386933049596
1977-04, 2, -0.297430591269934
1977-05, 0, -0.57336976604311
1977-06, 0, -0.57336976604311
1977-07, 0, -0.57336976604311
1977-08, 0, -0.57336976604311
1977-09, 0, -0.57336976604311
1977-10, 0, -0.57336976604311
1977-11, 1, -0.435400178656522
1977-12, 31, 3.70368744294113
1978-01, 29, 3.42774826816795
1978-02, 28, 3.28977868078136
1978-03, 24, 2.73790033123501
1978-04, 1, -0.435400178656522
1978-05, 0, -0.57336976604311
1978-06, 0, -0.57336976604311
1978-07, 0, -0.57336976604311
1978-08, 0, -0.57336976604311
1978-09, 0, -0.57336976604311
1978-10, 0, -0.57336976604311
1978-11, 7, 0.392417345663008
1978-12, 24, 2.73790033123501
1979-01, 9, 0.668356520436185
1979-02, 25, 2.8758699186216
1979-03, 9, 0.668356520436185
1979-04, 2, -0.297430591269934
1979-05, 0, -0.57336976604311
1979-06, 0, -0.57336976604311
1979-07, 0, -0.57336976604311
1979-08, 0, -0.57336976604311
1979-09, 0, -0.57336976604311
1979-10, 0, -0.57336976604311
1979-11, 5, 0.116478170889831
1979-12, 27, 3.15180909339478
1980-01, 25, 2.8758699186216
1980-02, 10, 0.806326107822773
1980-03, 4, -0.021491416496757
1980-04, 0, -0.57336976604311
1980-05, 0, -0.57336976604311
1980-06, 0, -0.57336976604311
1980-07, 0, -0.57336976604311
1980-08, 0, -0.57336976604311
1980-09, 0, -0.57336976604311
1980-10, 2, -0.297430591269934
1980-11, 5, 0.116478170889831
1980-12, 13, 1.22023486998254
1981-01, 11, 0.944295695209361
1981-02, 9, 0.668356520436185
1981-03, 3, -0.159461003883345
1981-04, 2, -0.297430591269934
1981-05, 0, -0.57336976604311
1981-06, 0, -0.57336976604311
1981-07, 0, -0.57336976604311
1981-08, 0, -0.57336976604311
1981-09, 0, -0.57336976604311
1981-10, 0, -0.57336976604311
