"Description: ","Monthly number of days when precipitation >= 20 mm"
"Station: ","final_1971_2005_Vienna_rcp85"
"Latitude: ","48.2"
"Longitude: ","16.37"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, r20mm, normalised (all years)
1971-01, 0, -0.682392412886082
1971-02, 1, 0.444096649656021
1971-03, 0, -0.682392412886082
1971-04, 0, -0.682392412886082
1971-05, 0, -0.682392412886082
1971-06, 1, 0.444096649656021
1971-07, 0, -0.682392412886082
1971-08, 1, 0.444096649656021
1971-09, 0, -0.682392412886082
1971-10, 1, 0.444096649656021
1971-11, 0, -0.682392412886082
1971-12, 1, 0.444096649656021
1972-01, 0, -0.682392412886082
1972-02, 1, 0.444096649656021
1972-03, 1, 0.444096649656021
1972-04, 0, -0.682392412886082
1972-05, 1, 0.444096649656021
1972-06, 0, -0.682392412886082
1972-07, 2, 1.57058571219812
1972-08, 1, 0.444096649656021
1972-09, 0, -0.682392412886082
1972-10, 0, -0.682392412886082
1972-11, 0, -0.682392412886082
1972-12, 0, -0.682392412886082
1973-01, 0, -0.682392412886082
1973-02, 1, 0.444096649656021
1973-03, 0, -0.682392412886082
1973-04, 0, -0.682392412886082
1973-05, 2, 1.57058571219812
1973-06, 0, -0.682392412886082
1973-07, 0, -0.682392412886082
1973-08, 0, -0.682392412886082
1973-09, 0, -0.682392412886082
1973-10, 2, 1.57058571219812
1973-11, 0, -0.682392412886082
1973-12, 0, -0.682392412886082
1974-01, 0, -0.682392412886082
1974-02, 0, -0.682392412886082
1974-03, 2, 1.57058571219812
1974-04, 0, -0.682392412886082
1974-05, 2, 1.57058571219812
1974-06, 1, 0.444096649656021
1974-07, 3, 2.69707477474023
1974-08, 0, -0.682392412886082
1974-09, 0, -0.682392412886082
1974-10, 1, 0.444096649656021
1974-11, 1, 0.444096649656021
1974-12, 2, 1.57058571219812
1975-01, 0, -0.682392412886082
1975-02, 0, -0.682392412886082
1975-03, 1, 0.444096649656021
1975-04, 0, -0.682392412886082
1975-05, 0, -0.682392412886082
1975-06, 0, -0.682392412886082
1975-07, 1, 0.444096649656021
1975-08, 0, -0.682392412886082
1975-09, 2, 1.57058571219812
1975-10, 0, -0.682392412886082
1975-11, 1, 0.444096649656021
1975-12, 1, 0.444096649656021
1976-01, 0, -0.682392412886082
1976-02, 0, -0.682392412886082
1976-03, 1, 0.444096649656021
1976-04, 0, -0.682392412886082
1976-05, 0, -0.682392412886082
1976-06, 2, 1.57058571219812
