"Description: ","Monthly number of days when TM < 5 degrees_C"
"Station: ","final_1971_2005_Vienna_rcp85"
"Latitude: ","48.2"
"Longitude: ","16.37"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
time, tmlt5, normalised (all years)
1971-01, 25, 1.91945076343281
1971-02, 23, 1.71183466421595
1971-03, 16, 0.985178316956935
1971-04, 3, -0.364326327952666
1971-05, 0, -0.675750476777958
1971-06, 0, -0.675750476777958
1971-07, 0, -0.675750476777958
1971-08, 0, -0.675750476777958
1971-09, 0, -0.675750476777958
1971-10, 1, -0.571942427169527
1971-11, 16, 0.985178316956935
1971-12, 30, 2.43849101147497
1972-01, 30, 2.43849101147497
1972-02, 11, 0.466138068914781
1972-03, 6, -0.0529021791273734
1972-04, 0, -0.675750476777958
1972-05, 0, -0.675750476777958
1972-06, 0, -0.675750476777958
1972-07, 0, -0.675750476777958
1972-08, 0, -0.675750476777958
1972-09, 0, -0.675750476777958
1972-10, 0, -0.675750476777958
1972-11, 4, -0.260518278344235
1972-12, 30, 2.43849101147497
1973-01, 27, 2.12706686264967
1973-02, 18, 1.1927944161738
1973-03, 7, 0.0509058704810574
1973-04, 3, -0.364326327952666
1973-05, 0, -0.675750476777958
1973-06, 0, -0.675750476777958
1973-07, 0, -0.675750476777958
1973-08, 0, -0.675750476777958
1973-09, 0, -0.675750476777958
1973-10, 2, -0.468134377561097
1973-11, 7, 0.0509058704810574
1973-12, 24, 1.81564271382438
1974-01, 31, 2.5422990610834
1974-02, 11, 0.466138068914781
1974-03, 7, 0.0509058704810574
1974-04, 0, -0.675750476777958
1974-05, 0, -0.675750476777958
1974-06, 0, -0.675750476777958
1974-07, 0, -0.675750476777958
1974-08, 0, -0.675750476777958
1974-09, 0, -0.675750476777958
1974-10, 1, -0.571942427169527
1974-11, 15, 0.881370267348504
1974-12, 29, 2.33468296186653
1975-01, 31, 2.5422990610834
1975-02, 28, 2.2308749122581
1975-03, 13, 0.673754168131642
1975-04, 0, -0.675750476777958
1975-05, 0, -0.675750476777958
1975-06, 0, -0.675750476777958
1975-07, 0, -0.675750476777958
1975-08, 0, -0.675750476777958
1975-09, 0, -0.675750476777958
1975-10, 10, 0.36233001930635
1975-11, 17, 1.08898636656537
1975-12, 29, 2.33468296186653
1976-01, 31, 2.5422990610834
1976-02, 12, 0.569946118523211
1976-03, 16, 0.985178316956935
1976-04, 7, 0.0509058704810574
1976-05, 0, -0.675750476777958
1976-06, 0, -0.675750476777958
1976-07, 0, -0.675750476777958
1976-08, 0, -0.675750476777958
1976-09, 0, -0.675750476777958
1976-10, 5, -0.156710228735804
1976-11, 24, 1.81564271382438
1976-12, 27, 2.12706686264967
1977-01, 26, 2.02325881304124
1977-02, 28, 2.2308749122581
1977-03, 12, 0.569946118523211
1977-04, 2, -0.468134377561097
1977-05, 0, -0.675750476777958
1977-06, 0, -0.675750476777958
1977-07, 0, -0.675750476777958
1977-08, 0, -0.675750476777958
1977-09, 0, -0.675750476777958
1977-10, 4, -0.260518278344235
1977-11, 5, -0.156710228735804
1977-12, 31, 2.5422990610834
1978-01, 31, 2.5422990610834
1978-02, 28, 2.2308749122581
1978-03, 25, 1.91945076343281
1978-04, 1, -0.571942427169527
1978-05, 0, -0.675750476777958
1978-06, 0, -0.675750476777958
1978-07, 0, -0.675750476777958
1978-08, 0, -0.675750476777958
1978-09, 0, -0.675750476777958
1978-10, 0, -0.675750476777958
1978-11, 11, 0.466138068914781
1978-12, 30, 2.43849101147497
1979-01, 16, 0.985178316956935
1979-02, 28, 2.2308749122581
1979-03, 16, 0.985178316956935
1979-04, 3, -0.364326327952666
1979-05, 0, -0.675750476777958
1979-06, 0, -0.675750476777958
1979-07, 0, -0.675750476777958
1979-08, 0, -0.675750476777958
1979-09, 0, -0.675750476777958
1979-10, 0, -0.675750476777958
1979-11, 12, 0.569946118523211
1979-12, 30, 2.43849101147497
1980-01, 27, 2.12706686264967
1980-02, 17, 1.08898636656537
1980-03, 6, -0.0529021791273734
1980-04, 0, -0.675750476777958
1980-05, 0, -0.675750476777958
1980-06, 0, -0.675750476777958
1980-07, 0, -0.675750476777958
1980-08, 0, -0.675750476777958
1980-09, 0, -0.675750476777958
1980-10, 6, -0.0529021791273734
1980-11, 9, 0.258521969697919
1980-12, 18, 1.1927944161738
1981-01, 19, 1.29660246578223
1981-02, 16, 0.985178316956935
1981-03, 7, 0.0509058704810574
1981-04, 2, -0.468134377561097
1981-05, 0, -0.675750476777958
1981-06, 0, -0.675750476777958
1981-07, 0, -0.675750476777958
1981-08, 0, -0.675750476777958
1981-09, 0, -0.675750476777958
1981-10, 0, -0.675750476777958
1981-11, 14, 0.777562217740073
1981-12, 29, 2.33468296186653
1982-01, 27, 2.12706686264967
1982-02, 21, 1.50421856499909
1982-03, 13, 0.673754168131642
1982-04, 0, -0.675750476777958
1982-05, 0, -0.675750476777958
1982-06, 0, -0.675750476777958
1982-07, 0, -0.675750476777958
1982-08, 0, -0.675750476777958
1982-09, 0, -0.675750476777958
1982-10, 0, -0.675750476777958
1982-11, 23, 1.71183466421595
1982-12, 27, 2.12706686264967
1983-01, 24, 1.81564271382438
1983-02, 21, 1.50421856499909
1983-03, 7, 0.0509058704810574
1983-04, 0, -0.675750476777958
1983-05, 0, -0.675750476777958
1983-06, 0, -0.675750476777958
1983-07, 0, -0.675750476777958
1983-08, 0, -0.675750476777958
1983-09, 0, -0.675750476777958
1983-10, 0, -0.675750476777958
1983-11, 25, 1.91945076343281
1983-12, 28, 2.2308749122581
1984-01, 31, 2.5422990610834
1984-02, 18, 1.1927944161738
1984-03, 6, -0.0529021791273734
1984-04, 2, -0.468134377561097
1984-05, 0, -0.675750476777958
1984-06, 0, -0.675750476777958
1984-07, 0, -0.675750476777958
1984-08, 0, -0.675750476777958
1984-09, 0, -0.675750476777958
1984-10, 1, -0.571942427169527
1984-11, 12, 0.569946118523211
1984-12, 31, 2.5422990610834
1985-01, 29, 2.33468296186653
1985-02, 25, 1.91945076343281
1985-03, 16, 0.985178316956935
1985-04, 1, -0.571942427169527
1985-05, 0, -0.675750476777958
1985-06, 0, -0.675750476777958
1985-07, 0, -0.675750476777958
1985-08, 0, -0.675750476777958
1985-09, 0, -0.675750476777958
1985-10, 1, -0.571942427169527
1985-11, 12, 0.569946118523211
1985-12, 28, 2.2308749122581
1986-01, 30, 2.43849101147497
1986-02, 24, 1.81564271382438
1986-03, 7, 0.0509058704810574
1986-04, 4, -0.260518278344235
1986-05, 0, -0.675750476777958
1986-06, 0, -0.675750476777958
1986-07, 0, -0.675750476777958
1986-08, 0, -0.675750476777958
1986-09, 0, -0.675750476777958
1986-10, 1, -0.571942427169527
1986-11, 9, 0.258521969697919
1986-12, 21, 1.50421856499909
1987-01, 29, 2.33468296186653
1987-02, 18, 1.1927944161738
1987-03, 4, -0.260518278344235
1987-04, 0, -0.675750476777958
1987-05, 0, -0.675750476777958
1987-06, 0, -0.675750476777958
1987-07, 0, -0.675750476777958
1987-08, 0, -0.675750476777958
1987-09, 0, -0.675750476777958
1987-10, 0, -0.675750476777958
1987-11, 8, 0.154713920089488
1987-12, 30, 2.43849101147497
1988-01, 25, 1.91945076343281
1988-02, 27, 2.12706686264967
1988-03, 14, 0.777562217740073
1988-04, 0, -0.675750476777958
1988-05, 0, -0.675750476777958
1988-06, 0, -0.675750476777958
1988-07, 0, -0.675750476777958
1988-08, 0, -0.675750476777958
1988-09, 0, -0.675750476777958
